generation,qubit_mutated,energy,objective_cx,status,time_elapsed_sec
0,N/A,-0.9326,-1.9326,START,0.0
1,2,-0.9326,-1.9326,REJECTED,0.182
2,1,-0.9326,-1.9326,REJECTED,0.2602
3,1,-0.9326,-1.9326,REJECTED,0.3397
4,0,-0.9326,-1.9326,REJECTED,0.4144
5,0,-0.9597,-1.9597,ACCEPTED,0.4855
6,2,-0.9597,-1.9597,REJECTED,0.5567
7,0,-0.9597,-1.9597,REJECTED,0.6284
8,2,-0.9597,-1.9597,REJECTED,0.6992
9,2,-0.9597,-1.9597,REJECTED,0.7693
10,1,-0.9597,-1.9597,REJECTED,0.8391
11,0,-0.9597,-1.9597,REJECTED,0.9087
12,1,-0.9597,-1.9597,REJECTED,0.9783
13,2,-0.9597,-1.9597,REJECTED,1.0471
14,2,-0.9846,-1.9846,ACCEPTED,1.1179
15,0,-0.9846,-1.9846,REJECTED,1.1872
16,2,-0.9846,-1.9846,REJECTED,1.2569
17,0,-0.9846,-1.9846,REJECTED,1.3256
18,1,-0.9846,-1.9846,REJECTED,1.3955
19,1,-0.9846,-1.9846,REJECTED,1.4658
20,0,-0.9846,-1.9846,REJECTED,1.5351
21,2,-0.9846,-1.9846,REJECTED,1.6027
22,2,-0.9846,-1.9846,REJECTED,1.6712
23,0,-0.9846,-1.9846,REJECTED,1.7403
24,0,-0.9846,-1.9846,REJECTED,1.8098
25,2,-0.9846,-1.9846,REJECTED,1.8784
26,2,-0.9846,-1.9846,REJECTED,1.947
27,0,-0.9846,-1.9846,REJECTED,2.0152
28,1,-0.9846,-1.9846,REJECTED,2.0844
29,2,-0.9846,-1.9846,REJECTED,2.1547
30,2,-0.9846,-1.9846,REJECTED,2.2228
31,1,-0.9846,-1.9846,REJECTED,2.2924
32,2,-0.9846,-1.9846,REJECTED,2.3604
33,1,-0.9846,-1.9846,REJECTED,2.4279
34,0,-0.9846,-1.9846,REJECTED,2.4963
35,2,-0.9846,-1.9846,REJECTED,2.5652
36,1,-0.9846,-1.9846,REJECTED,2.634
37,2,-0.9846,-1.9846,REJECTED,2.7109
38,0,-0.9846,-1.9846,REJECTED,2.786
39,0,-0.9846,-1.9846,REJECTED,2.8573
40,1,-0.9846,-1.9846,REJECTED,2.9346
41,0,-0.9846,-1.9846,REJECTED,3.0135
42,1,-0.9846,-1.9846,REJECTED,3.0883
43,2,-0.9846,-1.9846,REJECTED,3.161
44,0,-0.9846,-1.9846,REJECTED,3.2346
45,2,-0.9846,-1.9846,REJECTED,3.306
46,0,-0.9846,-1.9846,REJECTED,3.3763
47,2,-0.9846,-1.9846,REJECTED,3.4486
48,0,-0.9846,-1.9846,REJECTED,3.5249
49,2,-0.9846,-1.9846,REJECTED,3.5985
50,2,-0.9846,-1.9846,REJECTED,3.6716
51,0,-0.9846,-1.9846,REJECTED,3.745
52,2,-0.9846,-1.9846,REJECTED,3.8156
53,1,-0.9846,-1.9846,REJECTED,3.8871
54,0,-0.9846,-1.9846,REJECTED,3.9573
55,0,-0.9846,-1.9846,REJECTED,4.0262
56,1,-0.9846,-1.9846,REJECTED,4.0942
57,2,-0.9846,-1.9846,REJECTED,4.1643
58,0,-0.9846,-1.9846,REJECTED,4.2339
59,1,-0.9846,-1.9846,REJECTED,4.304
60,1,-0.9846,-1.9846,REJECTED,4.373
61,1,-0.9846,-1.9846,REJECTED,4.4432
62,1,-0.9846,-1.9846,REJECTED,4.5126
63,0,-0.9846,-1.9846,REJECTED,4.5817
64,1,-0.9846,-1.9846,REJECTED,4.6509
65,1,-0.9846,-1.9846,REJECTED,4.7217
66,0,-0.9846,-1.9846,REJECTED,4.7919
67,2,-0.9846,-1.9846,REJECTED,4.8612
68,2,-0.9846,-1.9846,REJECTED,4.9328
69,0,-0.9846,-1.9846,REJECTED,5.0024
70,1,-0.9846,-1.9846,REJECTED,5.0713
71,2,-0.9846,-1.9846,REJECTED,5.1401
72,2,-0.9846,-1.9846,REJECTED,5.2092
73,1,-0.9846,-1.9846,REJECTED,5.2783
74,0,-0.9846,-1.9846,REJECTED,5.3463
75,0,-0.9846,-1.9846,REJECTED,5.4152
76,1,-0.9846,-1.9846,REJECTED,5.4845
77,1,-0.9846,-1.9846,REJECTED,5.554
78,2,-0.9846,-1.9846,REJECTED,5.6239
79,2,-0.9846,-1.9846,REJECTED,5.6926
80,1,-0.9846,-1.9846,REJECTED,5.7613
81,2,-0.9846,-1.9846,REJECTED,5.829
82,1,-0.9846,-1.9846,REJECTED,5.8967
83,1,-0.9846,-1.9846,REJECTED,5.965
84,1,-0.9846,-1.9846,REJECTED,6.0322
85,1,-0.9846,-1.9846,REJECTED,6.1008
86,0,-0.9846,-1.9846,REJECTED,6.1682
87,2,-0.9846,-1.9846,REJECTED,6.2368
88,0,-0.9846,-1.9846,REJECTED,6.3048
89,2,-0.9846,-1.9846,REJECTED,6.3729
90,0,-0.9846,-1.9846,REJECTED,6.4415
91,0,-0.9846,-1.9846,REJECTED,6.5099
92,1,-0.9846,-1.9846,REJECTED,6.5785
93,2,-0.9846,-1.9846,REJECTED,6.648
94,1,-0.9846,-1.9846,REJECTED,6.7167
95,0,-0.9846,-1.9846,REJECTED,6.7862
96,2,-0.9846,-1.9846,REJECTED,6.8554
97,0,-0.9846,-1.9846,REJECTED,6.925
98,2,-0.9846,-1.9846,REJECTED,6.9935
99,1,-0.9846,-1.9846,REJECTED,7.0635
100,1,-0.9846,-1.9846,REJECTED,7.134
