generation,qubit_mutated,energy,objective_cx,temperature,status,time_elapsed_sec
0,N/A,-0.4409,-1.9409,2.0,START,0.0
1,2,-0.4585,-1.9585,1.9,ACCEPTED (improvement),0.1419
2,1,-0.5125,-2.0125,1.805,ACCEPTED (improvement),0.2122
3,0,-0.4392,-1.9392,1.7147,"ACCEPTED (escape, p=0.958)",0.2822
4,1,-0.4146,-1.9146,1.629,"ACCEPTED (escape, p=0.985)",0.355
5,0,-0.2749,-1.7749,1.5476,"ACCEPTED (escape, p=0.914)",0.4269
6,2,-0.2539,-1.7539,1.4702,"ACCEPTED (escape, p=0.986)",0.4963
7,2,-0.2244,-1.7244,1.3967,"ACCEPTED (escape, p=0.979)",0.5673
8,1,-0.282,-1.782,1.3268,ACCEPTED (improvement),0.642
9,0,-0.3479,-1.8479,1.2605,ACCEPTED (improvement),0.7139
10,0,-0.3215,-1.8215,1.1975,"ACCEPTED (escape, p=0.978)",0.7845
11,0,-0.3391,-1.8391,1.1376,ACCEPTED (improvement),0.8577
12,2,-0.385,-1.885,1.0807,ACCEPTED (improvement),0.9315
13,0,-0.2546,-1.7546,1.0267,"ACCEPTED (escape, p=0.881)",1.0017
14,1,-0.1975,-1.6975,0.9753,"ACCEPTED (escape, p=0.943)",1.074
15,1,-0.2764,-1.7764,0.9266,ACCEPTED (improvement),1.1509
16,2,-0.2864,-1.7864,0.8803,ACCEPTED (improvement),1.2229
17,1,-0.2864,-1.7864,0.8362,REJECTED,1.2959
18,0,-0.467,-1.967,0.7944,ACCEPTED (improvement),1.3683
19,2,-0.4656,-1.9656,0.7547,"ACCEPTED (escape, p=0.998)",1.4415
20,0,-0.449,-1.949,0.717,"ACCEPTED (escape, p=0.977)",1.518
21,1,-0.5576,-2.0576,0.6811,ACCEPTED (improvement),1.5992
22,2,-0.5002,-2.0002,0.6471,"ACCEPTED (escape, p=0.915)",1.6695
23,2,-0.5354,-2.0354,0.6147,ACCEPTED (improvement),1.7433
24,0,-0.5281,-2.0281,0.584,"ACCEPTED (escape, p=0.988)",1.8137
25,2,-0.5454,-2.0454,0.5548,ACCEPTED (improvement),1.886
26,2,-0.5454,-2.0454,0.527,REJECTED,1.9617
27,2,-0.4888,-1.9888,0.5007,"ACCEPTED (escape, p=0.893)",2.0351
28,1,-0.3088,-1.8088,0.4757,"ACCEPTED (escape, p=0.685)",2.1102
29,2,-0.3374,-1.8374,0.4519,ACCEPTED (improvement),2.1827
30,2,-0.3374,-1.8374,0.4293,REJECTED,2.2519
31,0,-0.4553,-1.9553,0.4078,ACCEPTED (improvement),2.3256
32,1,-0.5696,-2.0696,0.3874,ACCEPTED (improvement),2.3998
33,2,-0.5957,-2.0957,0.3681,ACCEPTED (improvement),2.4708
34,2,-0.5964,-2.0964,0.3496,ACCEPTED (improvement),2.5414
35,1,-0.5964,-2.0964,0.3322,REJECTED,2.6105
36,2,-0.5459,-2.0459,0.3156,"ACCEPTED (escape, p=0.852)",2.6805
37,0,-0.5154,-2.0154,0.2998,"ACCEPTED (escape, p=0.903)",2.7508
38,1,-0.8215,-2.3215,0.2848,ACCEPTED (improvement),2.8216
39,1,-0.8853,-2.3853,0.2706,ACCEPTED (improvement),2.8928
40,0,-0.5852,-2.0852,0.257,"ACCEPTED (escape, p=0.311)",2.9634
41,1,-0.2793,-1.7793,0.2442,"ACCEPTED (escape, p=0.286)",3.0342
42,0,-0.376,-1.876,0.232,ACCEPTED (improvement),3.1054
43,1,-0.3352,-1.8352,0.2204,"ACCEPTED (escape, p=0.831)",3.1842
44,0,-0.2,-1.7,0.2093,"ACCEPTED (escape, p=0.524)",3.2625
45,2,-0.2319,-1.7319,0.1989,ACCEPTED (improvement),3.3382
46,1,-0.2251,-1.7251,0.1889,"ACCEPTED (escape, p=0.964)",3.4177
47,1,-0.2483,-1.7483,0.1795,ACCEPTED (improvement),3.5038
48,2,-0.2571,-1.7571,0.1705,ACCEPTED (improvement),3.5919
49,2,-0.2507,-1.7507,0.162,"ACCEPTED (escape, p=0.962)",3.675
50,0,-0.2825,-1.7825,0.1539,ACCEPTED (improvement),3.7595
51,1,-0.2825,-1.7825,0.1462,REJECTED,3.8387
52,0,-0.251,-1.751,0.1389,"ACCEPTED (escape, p=0.797)",3.9199
53,1,-0.251,-1.751,0.1319,REJECTED,3.9993
54,1,-0.251,-1.751,0.1253,REJECTED,4.0694
55,2,-0.251,-1.751,0.1191,REJECTED,4.1398
56,0,-0.251,-1.751,0.1131,REJECTED,4.2108
57,2,-0.2664,-1.7664,0.1075,ACCEPTED (improvement),4.2831
58,1,-0.439,-1.939,0.1021,ACCEPTED (improvement),4.3554
59,2,-0.4231,-1.9231,0.097,"ACCEPTED (escape, p=0.849)",4.4267
60,2,-0.4231,-1.9231,0.0921,REJECTED,4.5064
61,0,-0.4231,-1.9231,0.0875,REJECTED,4.5803
62,1,-0.4231,-1.9231,0.0832,REJECTED,4.6495
63,2,-0.4409,-1.9409,0.079,ACCEPTED (improvement),4.7197
64,1,-0.4297,-1.9297,0.075,"ACCEPTED (escape, p=0.861)",4.7906
65,2,-0.4297,-1.9297,0.0713,REJECTED,4.8601
66,1,-0.562,-2.062,0.0677,ACCEPTED (improvement),4.9294
67,0,-0.562,-2.062,0.0643,REJECTED,5.0001
68,0,-0.8535,-2.3535,0.0611,ACCEPTED (improvement),5.0695
69,2,-0.8401,-2.3401,0.0581,"ACCEPTED (escape, p=0.794)",5.1384
70,0,-0.8245,-2.3245,0.0552,"ACCEPTED (escape, p=0.753)",5.2081
71,0,-0.8245,-2.3245,0.0524,REJECTED,5.2781
72,2,-0.8245,-2.3245,0.0498,REJECTED,5.3474
73,2,-0.843,-2.343,0.0473,ACCEPTED (improvement),5.4173
74,2,-0.843,-2.343,0.0449,REJECTED,5.488
75,0,-0.843,-2.343,0.0427,REJECTED,5.5596
76,0,-0.843,-2.343,0.0406,REJECTED,5.6316
77,0,-0.845,-2.345,0.0385,ACCEPTED (improvement),5.7034
78,2,-0.8333,-2.3333,0.0366,"ACCEPTED (escape, p=0.726)",5.7787
79,0,-0.8503,-2.3503,0.0348,ACCEPTED (improvement),5.8518
80,2,-0.8503,-2.3503,0.033,REJECTED,5.924
81,2,-0.7825,-2.2825,0.0314,"ACCEPTED (escape, p=0.115)",5.9956
82,1,-1.0789,-2.5789,0.0298,ACCEPTED (improvement),6.0752
83,2,-1.1567,-2.6567,0.0283,ACCEPTED (improvement),6.1576
84,2,-1.1567,-2.6567,0.0269,REJECTED,6.2351
85,1,-1.345,-2.845,0.0256,ACCEPTED (improvement),6.306
86,2,-1.3274,-2.8274,0.0243,"ACCEPTED (escape, p=0.485)",6.3763
87,1,-1.3274,-2.8274,0.0231,REJECTED,6.4491
88,2,-1.3274,-2.8274,0.0219,REJECTED,6.5237
89,2,-1.3274,-2.8274,0.0208,REJECTED,6.594
90,2,-1.3149,-2.8149,0.0198,"ACCEPTED (escape, p=0.533)",6.6643
91,1,-1.3149,-2.8149,0.0188,REJECTED,6.7346
92,0,-1.3149,-2.8149,0.0178,REJECTED,6.8041
93,2,-1.2795,-2.7795,0.017,"ACCEPTED (escape, p=0.124)",6.8736
94,0,-1.2795,-2.7795,0.0161,REJECTED,6.9431
95,2,-1.2739,-2.7739,0.0153,"ACCEPTED (escape, p=0.693)",7.0126
96,0,-1.3542,-2.8542,0.0145,ACCEPTED (improvement),7.0835
97,1,-1.3542,-2.8542,0.0138,REJECTED,7.1536
98,0,-1.3542,-2.8542,0.0131,REJECTED,7.2236
99,0,-1.3542,-2.8542,0.0125,"ACCEPTED (escape, p=1.000)",7.2942
100,2,-1.3542,-2.8542,0.0118,REJECTED,7.3639
101,1,-1.3542,-2.8542,0.0112,REJECTED,7.4339
102,1,-1.3542,-2.8542,0.0107,REJECTED,7.5028
103,1,-1.3738,-2.8738,0.0102,ACCEPTED (improvement),7.5722
104,0,-1.3738,-2.8738,0.01,REJECTED,7.6437
105,1,-1.3877,-2.8877,0.01,ACCEPTED (improvement),7.7133
106,2,-1.3877,-2.8877,0.01,REJECTED,7.7835
107,1,-1.3877,-2.8877,0.01,REJECTED,7.8542
108,2,-1.3877,-2.8877,0.01,REJECTED,7.9266
109,0,-1.3877,-2.8877,0.01,REJECTED,7.9957
110,1,-1.3877,-2.8877,0.01,REJECTED,8.0652
111,1,-1.3877,-2.8877,0.01,REJECTED,8.1364
112,2,-1.3877,-2.8877,0.01,REJECTED,8.2059
113,0,-1.3877,-2.8877,0.01,REJECTED,8.2766
114,2,-1.4521,-2.9521,0.01,ACCEPTED (improvement),8.3466
115,0,-1.4819,-2.9819,0.01,ACCEPTED (improvement),8.4176
116,2,-1.4819,-2.9819,0.01,REJECTED,8.4891
117,2,-1.4819,-2.9819,0.01,REJECTED,8.5571
118,0,-1.4819,-2.9819,0.01,REJECTED,8.6274
119,0,-1.4885,-2.9885,0.01,ACCEPTED (improvement),8.6975
120,0,-1.4922,-2.9922,0.01,ACCEPTED (improvement),8.7684
121,2,-1.4863,-2.9863,0.01,"ACCEPTED (escape, p=0.557)",8.8385
122,0,-1.4863,-2.9863,0.01,REJECTED,8.9082
123,1,-1.4863,-2.9863,0.01,REJECTED,8.9777
124,1,-1.4863,-2.9863,0.01,REJECTED,9.0464
125,2,-1.4863,-2.9863,0.01,REJECTED,9.1161
126,2,-1.4863,-2.9863,0.01,REJECTED,9.1864
127,1,-1.49,-2.99,0.01,ACCEPTED (improvement),9.2556
128,2,-1.49,-2.99,0.01,REJECTED,9.3262
129,1,-1.49,-2.99,0.01,REJECTED,9.3955
130,1,-1.4893,-2.9893,0.01,"ACCEPTED (escape, p=0.929)",9.4649
131,0,-1.4893,-2.9893,0.01,REJECTED,9.5352
132,2,-1.4893,-2.9893,0.01,REJECTED,9.6053
133,2,-1.4727,-2.9727,0.01,"ACCEPTED (escape, p=0.190)",9.6747
134,1,-1.4727,-2.9727,0.01,REJECTED,9.7444
135,1,-1.4727,-2.9727,0.01,REJECTED,9.8155
136,1,-1.4727,-2.9727,0.01,REJECTED,9.8859
137,1,-1.4727,-2.9727,0.01,REJECTED,9.9559
138,2,-1.4727,-2.9727,0.01,REJECTED,10.0259
139,2,-1.4983,-2.9983,0.01,ACCEPTED (improvement),10.0958
140,0,-1.4983,-2.9983,0.01,REJECTED,10.166
141,0,-1.4924,-2.9924,0.01,"ACCEPTED (escape, p=0.557)",10.2362
142,0,-1.4963,-2.9963,0.01,ACCEPTED (improvement),10.3063
143,2,-1.4963,-2.9963,0.01,REJECTED,10.3762
144,1,-1.4963,-2.9963,0.01,REJECTED,10.4463
145,0,-1.4963,-2.9963,0.01,REJECTED,10.5162
146,1,-1.4963,-2.9963,0.01,REJECTED,10.5859
147,1,-1.4963,-2.9963,0.01,REJECTED,10.6554
148,2,-1.4963,-2.9963,0.01,REJECTED,10.7241
149,1,-1.4863,-2.9863,0.01,"ACCEPTED (escape, p=0.368)",10.7944
150,2,-1.4863,-2.9863,0.01,REJECTED,10.8639
