generation,qubit_mutated,energy,objective_cx,status,time_elapsed_sec
0,N/A,-0.9326,-1.9326,START,0.0
1,2,-0.9326,-1.9326,REJECTED,0.1837
2,1,-0.9326,-1.9326,REJECTED,0.2559
3,1,-0.9326,-1.9326,REJECTED,0.3357
4,0,-0.9326,-1.9326,REJECTED,0.4108
5,0,-0.9597,-1.9597,ACCEPTED,0.4852
6,2,-0.9597,-1.9597,REJECTED,0.5579
7,0,-0.9597,-1.9597,REJECTED,0.6304
8,2,-0.9597,-1.9597,REJECTED,0.7041
9,2,-0.9597,-1.9597,REJECTED,0.7756
10,1,-0.9597,-1.9597,REJECTED,0.8471
11,0,-0.9597,-1.9597,REJECTED,0.9221
12,1,-0.9597,-1.9597,REJECTED,0.9981
13,2,-0.9597,-1.9597,REJECTED,1.069
14,2,-0.9846,-1.9846,ACCEPTED,1.1422
15,0,-0.9846,-1.9846,REJECTED,1.2156
16,2,-0.9846,-1.9846,REJECTED,1.2874
17,0,-0.9846,-1.9846,REJECTED,1.3621
18,1,-0.9846,-1.9846,REJECTED,1.4332
19,1,-0.9846,-1.9846,REJECTED,1.504
20,0,-0.9846,-1.9846,REJECTED,1.5757
21,2,-0.9846,-1.9846,REJECTED,1.6476
22,2,-0.9846,-1.9846,REJECTED,1.7182
23,0,-0.9846,-1.9846,REJECTED,1.798
24,0,-0.9846,-1.9846,REJECTED,1.8708
25,2,-0.9846,-1.9846,REJECTED,1.9413
26,2,-0.9846,-1.9846,REJECTED,2.016
27,0,-0.9846,-1.9846,REJECTED,2.0903
28,1,-0.9846,-1.9846,REJECTED,2.1635
29,2,-0.9846,-1.9846,REJECTED,2.2364
30,2,-0.9846,-1.9846,REJECTED,2.3076
31,1,-0.9846,-1.9846,REJECTED,2.3792
32,2,-0.9846,-1.9846,REJECTED,2.4507
33,1,-0.9846,-1.9846,REJECTED,2.5218
34,0,-0.9846,-1.9846,REJECTED,2.5932
35,2,-0.9846,-1.9846,REJECTED,2.6644
36,1,-0.9846,-1.9846,REJECTED,2.7348
37,2,-0.9846,-1.9846,REJECTED,2.8049
38,0,-0.9846,-1.9846,REJECTED,2.8764
39,0,-0.9846,-1.9846,REJECTED,2.9466
40,1,-0.9846,-1.9846,REJECTED,3.0176
41,0,-0.9846,-1.9846,REJECTED,3.0894
42,1,-0.9846,-1.9846,REJECTED,3.1602
43,2,-0.9846,-1.9846,REJECTED,3.2308
44,0,-0.9846,-1.9846,REJECTED,3.3001
45,2,-0.9846,-1.9846,REJECTED,3.3715
46,0,-0.9846,-1.9846,REJECTED,3.4426
47,2,-0.9846,-1.9846,REJECTED,3.5132
48,0,-0.9846,-1.9846,REJECTED,3.5833
49,2,-0.9846,-1.9846,REJECTED,3.653
50,2,-0.9846,-1.9846,REJECTED,3.7248
51,0,-0.9846,-1.9846,REJECTED,3.7959
52,2,-0.9846,-1.9846,REJECTED,3.8838
53,1,-0.9846,-1.9846,REJECTED,3.9574
54,0,-0.9846,-1.9846,REJECTED,4.0281
55,0,-0.9846,-1.9846,REJECTED,4.0979
56,1,-0.9846,-1.9846,REJECTED,4.169
57,2,-0.9846,-1.9846,REJECTED,4.2417
58,0,-0.9846,-1.9846,REJECTED,4.3127
59,1,-0.9846,-1.9846,REJECTED,4.3835
60,1,-0.9846,-1.9846,REJECTED,4.4549
61,1,-0.9846,-1.9846,REJECTED,4.5265
62,1,-0.9846,-1.9846,REJECTED,4.6006
63,0,-0.9846,-1.9846,REJECTED,4.6755
64,1,-0.9846,-1.9846,REJECTED,4.7502
65,1,-0.9846,-1.9846,REJECTED,4.8229
66,0,-0.9846,-1.9846,REJECTED,4.8986
67,2,-0.9846,-1.9846,REJECTED,4.9752
68,2,-0.9846,-1.9846,REJECTED,5.0534
69,0,-0.9846,-1.9846,REJECTED,5.1259
70,1,-0.9846,-1.9846,REJECTED,5.1974
71,2,-0.9846,-1.9846,REJECTED,5.2674
72,2,-0.9846,-1.9846,REJECTED,5.3385
73,1,-0.9846,-1.9846,REJECTED,5.4108
74,0,-0.9846,-1.9846,REJECTED,5.4816
75,0,-0.9846,-1.9846,REJECTED,5.5524
76,1,-0.9846,-1.9846,REJECTED,5.6222
77,1,-0.9846,-1.9846,REJECTED,5.6938
78,2,-0.9846,-1.9846,REJECTED,5.7651
79,2,-0.9846,-1.9846,REJECTED,5.8359
80,1,-0.9846,-1.9846,REJECTED,5.9068
81,2,-0.9846,-1.9846,REJECTED,5.9787
82,1,-0.9846,-1.9846,REJECTED,6.0497
83,1,-0.9846,-1.9846,REJECTED,6.123
84,1,-0.9846,-1.9846,REJECTED,6.1955
85,1,-0.9846,-1.9846,REJECTED,6.2663
86,0,-0.9846,-1.9846,REJECTED,6.3369
87,2,-0.9846,-1.9846,REJECTED,6.4096
88,0,-0.9846,-1.9846,REJECTED,6.4801
89,2,-0.9846,-1.9846,REJECTED,6.5516
90,0,-0.9846,-1.9846,REJECTED,6.6227
91,0,-0.9846,-1.9846,REJECTED,6.6936
92,1,-0.9846,-1.9846,REJECTED,6.7645
93,2,-0.9846,-1.9846,REJECTED,6.8345
94,1,-0.9846,-1.9846,REJECTED,6.9053
95,0,-0.9846,-1.9846,REJECTED,6.9768
96,2,-0.9846,-1.9846,REJECTED,7.0471
97,0,-0.9846,-1.9846,REJECTED,7.1191
98,2,-0.9846,-1.9846,REJECTED,7.1895
99,1,-0.9846,-1.9846,REJECTED,7.2596
100,1,-0.9846,-1.9846,REJECTED,7.3303
