generation,qubit_mutated,energy,objective_cx,status,time_elapsed_sec
0,N/A,-0.4409,-1.9409,START,0.0
1,2,-0.4409,-1.9409,REJECTED,0.1926
2,1,-0.4409,-1.9409,REJECTED,0.2639
3,1,-0.4409,-1.9409,REJECTED,0.3326
4,0,-0.4409,-1.9409,REJECTED,0.4001
5,0,-0.468,-1.968,ACCEPTED,0.4675
6,2,-0.468,-1.968,REJECTED,0.5381
7,0,-0.468,-1.968,REJECTED,0.6077
8,2,-0.468,-1.968,REJECTED,0.6769
9,2,-0.468,-1.968,REJECTED,0.7437
10,1,-0.5532,-2.0532,ACCEPTED,0.8126
11,0,-0.5532,-2.0532,REJECTED,0.8812
12,1,-0.5532,-2.0532,REJECTED,0.9497
13,2,-0.5532,-2.0532,REJECTED,1.0185
14,2,-0.5762,-2.0762,ACCEPTED,1.0888
15,0,-0.5762,-2.0762,REJECTED,1.1586
16,2,-0.5762,-2.0762,REJECTED,1.2275
17,0,-0.5762,-2.0762,REJECTED,1.2962
18,1,-0.5762,-2.0762,REJECTED,1.3654
19,1,-0.5762,-2.0762,REJECTED,1.4348
20,0,-0.5762,-2.0762,REJECTED,1.5055
21,2,-0.5762,-2.0762,REJECTED,1.5735
22,2,-0.5762,-2.0762,REJECTED,1.644
23,0,-0.5762,-2.0762,REJECTED,1.7145
24,0,-0.5762,-2.0762,REJECTED,1.7841
25,2,-0.5762,-2.0762,REJECTED,1.8527
26,2,-0.5762,-2.0762,REJECTED,1.9224
27,0,-0.5762,-2.0762,REJECTED,1.9911
28,1,-0.5762,-2.0762,REJECTED,2.0602
29,2,-0.5762,-2.0762,REJECTED,2.1281
30,2,-0.5762,-2.0762,REJECTED,2.1981
31,1,-0.5762,-2.0762,REJECTED,2.2673
32,2,-0.5762,-2.0762,REJECTED,2.3365
33,1,-0.5762,-2.0762,REJECTED,2.4059
34,0,-0.5762,-2.0762,REJECTED,2.475
35,2,-0.5762,-2.0762,REJECTED,2.544
36,1,-0.6738,-2.1738,ACCEPTED,2.612
37,2,-0.6738,-2.1738,REJECTED,2.682
38,0,-0.6738,-2.1738,REJECTED,2.7505
39,0,-0.6738,-2.1738,REJECTED,2.8199
40,1,-0.6738,-2.1738,REJECTED,2.8891
41,0,-0.6738,-2.1738,REJECTED,2.9565
42,1,-0.7197,-2.2197,ACCEPTED,3.0253
43,2,-0.7197,-2.2197,REJECTED,3.0948
44,0,-0.7197,-2.2197,REJECTED,3.1641
45,2,-0.7197,-2.2197,REJECTED,3.2333
46,0,-0.7197,-2.2197,REJECTED,3.3021
47,2,-0.7197,-2.2197,REJECTED,3.3707
48,0,-0.7197,-2.2197,REJECTED,3.4397
49,2,-0.7197,-2.2197,REJECTED,3.5099
50,2,-0.7197,-2.2197,REJECTED,3.5786
51,0,-0.7197,-2.2197,REJECTED,3.6479
52,2,-0.7197,-2.2197,REJECTED,3.7173
53,1,-0.7197,-2.2197,REJECTED,3.7867
54,0,-0.7197,-2.2197,REJECTED,3.8556
55,0,-0.7197,-2.2197,REJECTED,3.9251
56,1,-1.0007,-2.5007,ACCEPTED,3.9931
57,2,-1.0007,-2.5007,REJECTED,4.0644
58,0,-1.0007,-2.5007,REJECTED,4.1334
59,1,-1.0417,-2.5417,ACCEPTED,4.2021
60,1,-1.3154,-2.8154,ACCEPTED,4.2739
61,1,-1.3523,-2.8523,ACCEPTED,4.3443
62,1,-1.4761,-2.9761,ACCEPTED,4.4153
63,0,-1.4761,-2.9761,REJECTED,4.4846
64,1,-1.4863,-2.9863,ACCEPTED,4.554
65,1,-1.4863,-2.9863,REJECTED,4.6241
66,0,-1.4863,-2.9863,REJECTED,4.6915
67,2,-1.4863,-2.9863,REJECTED,4.7583
68,2,-1.4863,-2.9863,REJECTED,4.8262
69,0,-1.4863,-2.9863,REJECTED,4.8936
70,1,-1.4863,-2.9863,REJECTED,4.9602
71,2,-1.4863,-2.9863,REJECTED,5.0272
72,2,-1.4863,-2.9863,REJECTED,5.0968
73,1,-1.4863,-2.9863,REJECTED,5.1656
74,0,-1.4863,-2.9863,REJECTED,5.2348
75,0,-1.4863,-2.9863,REJECTED,5.3025
76,1,-1.4863,-2.9863,REJECTED,5.3716
77,1,-1.4863,-2.9863,REJECTED,5.4407
78,2,-1.4863,-2.9863,REJECTED,5.5098
79,2,-1.4863,-2.9863,REJECTED,5.578
80,1,-1.4863,-2.9863,REJECTED,5.6473
81,2,-1.4863,-2.9863,REJECTED,5.7152
82,1,-1.4863,-2.9863,REJECTED,5.7833
83,1,-1.4863,-2.9863,REJECTED,5.8519
84,1,-1.4863,-2.9863,REJECTED,5.9195
85,1,-1.4863,-2.9863,REJECTED,5.9899
86,0,-1.4863,-2.9863,REJECTED,6.0569
87,2,-1.4863,-2.9863,REJECTED,6.1251
88,0,-1.4863,-2.9863,REJECTED,6.192
89,2,-1.4863,-2.9863,REJECTED,6.2604
90,0,-1.4863,-2.9863,REJECTED,6.3273
91,0,-1.4863,-2.9863,REJECTED,6.396
92,1,-1.4863,-2.9863,REJECTED,6.4641
93,2,-1.4863,-2.9863,REJECTED,6.5314
94,1,-1.4863,-2.9863,REJECTED,6.5986
95,0,-1.4863,-2.9863,REJECTED,6.6656
96,2,-1.4863,-2.9863,REJECTED,6.7326
97,0,-1.4863,-2.9863,REJECTED,6.8008
98,2,-1.4863,-2.9863,REJECTED,6.8694
99,1,-1.4863,-2.9863,REJECTED,6.9366
100,1,-1.4863,-2.9863,REJECTED,7.0053
101,1,-1.4863,-2.9863,REJECTED,7.0736
102,0,-1.4863,-2.9863,REJECTED,7.1405
103,0,-1.4863,-2.9863,REJECTED,7.2088
104,2,-1.4863,-2.9863,REJECTED,7.2768
105,2,-1.4863,-2.9863,REJECTED,7.3451
106,2,-1.4863,-2.9863,REJECTED,7.4129
107,1,-1.4863,-2.9863,REJECTED,7.4802
108,1,-1.4863,-2.9863,REJECTED,7.5482
109,1,-1.4863,-2.9863,REJECTED,7.6163
110,1,-1.4863,-2.9863,REJECTED,7.6834
111,2,-1.4863,-2.9863,REJECTED,7.751
112,2,-1.4863,-2.9863,REJECTED,7.8181
113,0,-1.4863,-2.9863,REJECTED,7.8846
114,2,-1.4863,-2.9863,REJECTED,7.9532
115,2,-1.4863,-2.9863,REJECTED,8.0238
116,2,-1.4863,-2.9863,REJECTED,8.0938
117,1,-1.4863,-2.9863,REJECTED,8.161
118,2,-1.4863,-2.9863,REJECTED,8.2294
119,1,-1.4863,-2.9863,REJECTED,8.2982
120,1,-1.4863,-2.9863,REJECTED,8.3665
121,1,-1.4863,-2.9863,REJECTED,8.435
122,1,-1.4863,-2.9863,REJECTED,8.5031
123,0,-1.4863,-2.9863,REJECTED,8.5716
124,0,-1.4863,-2.9863,REJECTED,8.6396
125,2,-1.4863,-2.9863,REJECTED,8.7067
126,1,-1.4863,-2.9863,REJECTED,8.7752
127,2,-1.4863,-2.9863,REJECTED,8.843
128,2,-1.4863,-2.9863,REJECTED,8.9103
129,1,-1.4863,-2.9863,REJECTED,8.9776
130,0,-1.4863,-2.9863,REJECTED,9.0448
131,2,-1.4863,-2.9863,REJECTED,9.1117
132,2,-1.4863,-2.9863,REJECTED,9.1786
133,0,-1.4863,-2.9863,REJECTED,9.247
134,0,-1.4863,-2.9863,REJECTED,9.3153
135,0,-1.4863,-2.9863,REJECTED,9.3838
136,2,-1.4863,-2.9863,REJECTED,9.453
137,2,-1.4863,-2.9863,REJECTED,9.5202
138,0,-1.4863,-2.9863,REJECTED,9.5875
139,2,-1.4863,-2.9863,REJECTED,9.6545
140,0,-1.4863,-2.9863,REJECTED,9.7216
141,0,-1.4863,-2.9863,REJECTED,9.7888
142,0,-1.4863,-2.9863,REJECTED,9.8558
143,1,-1.4863,-2.9863,REJECTED,9.9228
144,2,-1.4863,-2.9863,REJECTED,9.9912
145,2,-1.4863,-2.9863,REJECTED,10.0591
146,1,-1.4863,-2.9863,REJECTED,10.126
147,1,-1.4863,-2.9863,REJECTED,10.1927
148,2,-1.4863,-2.9863,REJECTED,10.261
149,2,-1.4863,-2.9863,REJECTED,10.3289
150,0,-1.4863,-2.9863,REJECTED,10.3959
