generation,qubit_mutated,energy,objective_cx,temperature,status,time_elapsed_sec
0,N/A,-0.9326,-1.9326,2.0,START,0.0
1,1,-0.9324,-1.9324,1.9,"ACCEPTED (escape, p=1.000)",0.1443
2,2,-0.699,-1.699,1.805,"ACCEPTED (escape, p=0.879)",0.2149
3,1,-0.6885,-1.6885,1.7147,"ACCEPTED (escape, p=0.994)",0.2859
4,1,-0.6829,-1.6829,1.629,"ACCEPTED (escape, p=0.997)",0.3577
5,1,-0.6257,-1.6257,1.5476,"ACCEPTED (escape, p=0.964)",0.4285
6,2,-0.4492,-1.4492,1.4702,"ACCEPTED (escape, p=0.887)",0.4984
7,1,-0.4387,-1.4387,1.3967,"ACCEPTED (escape, p=0.993)",0.5692
8,0,-0.4651,-1.4651,1.3268,ACCEPTED (improvement),0.6537
9,0,-0.4807,-1.4807,1.2605,ACCEPTED (improvement),0.7262
10,0,-0.4778,-1.4778,1.1975,"ACCEPTED (escape, p=0.998)",0.7982
11,2,-0.6074,-1.6074,1.1376,ACCEPTED (improvement),0.8696
12,1,-0.6348,-1.6348,1.0807,ACCEPTED (improvement),0.9412
13,0,-0.6194,-1.6194,1.0267,"ACCEPTED (escape, p=0.985)",1.0125
14,1,-0.6118,-1.6118,0.9753,"ACCEPTED (escape, p=0.992)",1.0835
15,2,-0.3408,-1.3408,0.9266,"ACCEPTED (escape, p=0.746)",1.1565
16,2,-0.6313,-1.6313,0.8803,ACCEPTED (improvement),1.2281
17,2,-0.8193,-1.8193,0.8362,ACCEPTED (improvement),1.301
18,2,-0.5723,-1.5723,0.7944,"ACCEPTED (escape, p=0.733)",1.3754
19,1,-0.5654,-1.5654,0.7547,"ACCEPTED (escape, p=0.991)",1.4493
20,0,-0.4033,-1.4033,0.717,"ACCEPTED (escape, p=0.798)",1.5247
21,2,-0.281,-1.281,0.6811,"ACCEPTED (escape, p=0.836)",1.5996
22,2,-0.3833,-1.3833,0.6471,ACCEPTED (improvement),1.6739
23,1,-0.4009,-1.4009,0.6147,ACCEPTED (improvement),1.7496
24,1,-0.3828,-1.3828,0.584,"ACCEPTED (escape, p=0.970)",1.8222
25,2,-0.5061,-1.5061,0.5548,ACCEPTED (improvement),1.8955
26,2,-0.6006,-1.6006,0.527,ACCEPTED (improvement),1.9677
27,2,-0.4944,-1.4944,0.5007,"ACCEPTED (escape, p=0.809)",2.0388
28,0,-0.4148,-1.4148,0.4757,"ACCEPTED (escape, p=0.846)",2.1102
29,1,-0.3994,-1.3994,0.4519,"ACCEPTED (escape, p=0.967)",2.1807
30,0,-0.3994,-1.3994,0.4293,REJECTED,2.2503
31,0,-0.1809,-1.1809,0.4078,"ACCEPTED (escape, p=0.585)",2.3214
32,0,-0.4978,-1.4978,0.3874,ACCEPTED (improvement),2.3926
33,1,-0.4988,-1.4988,0.3681,ACCEPTED (improvement),2.4641
34,2,-0.4988,-1.4988,0.3496,REJECTED,2.535
35,0,-0.4419,-1.4419,0.3322,"ACCEPTED (escape, p=0.843)",2.6058
36,1,-0.4829,-1.4829,0.3156,ACCEPTED (improvement),2.6774
37,2,-0.6426,-1.6426,0.2998,ACCEPTED (improvement),2.7484
38,0,-0.7146,-1.7146,0.2848,ACCEPTED (improvement),2.8198
39,0,-0.6953,-1.6953,0.2706,"ACCEPTED (escape, p=0.931)",2.8903
40,0,-0.4558,-1.4558,0.257,"ACCEPTED (escape, p=0.394)",2.9621
41,1,-0.4114,-1.4114,0.2442,"ACCEPTED (escape, p=0.834)",3.0326
42,0,-0.4998,-1.4998,0.232,ACCEPTED (improvement),3.1099
43,2,-0.4128,-1.4128,0.2204,"ACCEPTED (escape, p=0.674)",3.1884
44,1,-0.4128,-1.4128,0.2093,REJECTED,3.2652
45,0,-0.4871,-1.4871,0.1989,ACCEPTED (improvement),3.3401
46,1,-0.4341,-1.4341,0.1889,"ACCEPTED (escape, p=0.755)",3.4324
47,2,-0.4688,-1.4688,0.1795,ACCEPTED (improvement),3.5094
48,1,-0.4553,-1.4553,0.1705,"ACCEPTED (escape, p=0.924)",3.5843
49,1,-0.5159,-1.5159,0.162,ACCEPTED (improvement),3.6563
50,0,-0.5215,-1.5215,0.1539,ACCEPTED (improvement),3.7274
51,0,-0.5215,-1.5215,0.1462,REJECTED,3.7988
52,1,-0.5215,-1.5215,0.1389,REJECTED,3.8722
53,2,-0.5215,-1.5215,0.1319,REJECTED,3.9438
54,2,-0.5728,-1.5728,0.1253,ACCEPTED (improvement),4.0146
55,0,-0.5652,-1.5652,0.1191,"ACCEPTED (escape, p=0.938)",4.0956
56,0,-0.5652,-1.5652,0.1131,REJECTED,4.1681
57,1,-0.6177,-1.6177,0.1075,ACCEPTED (improvement),4.2389
58,2,-0.6177,-1.6177,0.1021,REJECTED,4.3103
59,0,-0.6177,-1.6177,0.097,REJECTED,4.3813
60,2,-0.6458,-1.6458,0.0921,ACCEPTED (improvement),4.4538
61,0,-0.6458,-1.6458,0.0875,REJECTED,4.5242
62,1,-0.677,-1.677,0.0832,ACCEPTED (improvement),4.5945
63,1,-0.677,-1.677,0.079,REJECTED,4.6672
64,0,-0.6895,-1.6895,0.075,ACCEPTED (improvement),4.7368
65,2,-0.6895,-1.6895,0.0713,REJECTED,4.8077
66,0,-0.6895,-1.6895,0.0677,REJECTED,4.8778
67,2,-0.7212,-1.7212,0.0643,ACCEPTED (improvement),4.95
68,1,-0.7212,-1.7212,0.0611,REJECTED,5.0216
69,2,-0.749,-1.749,0.0581,ACCEPTED (improvement),5.092
70,2,-0.749,-1.749,0.0552,REJECTED,5.1623
71,0,-0.749,-1.749,0.0524,REJECTED,5.2323
72,2,-0.749,-1.749,0.0498,REJECTED,5.3041
73,1,-0.749,-1.749,0.0473,REJECTED,5.378
74,1,-0.749,-1.749,0.0449,REJECTED,5.4519
75,2,-0.7349,-1.7349,0.0427,"ACCEPTED (escape, p=0.718)",5.525
76,1,-0.7349,-1.7349,0.0406,"ACCEPTED (escape, p=1.000)",5.599
77,1,-0.731,-1.731,0.0385,"ACCEPTED (escape, p=0.904)",5.676
78,1,-0.731,-1.731,0.0366,REJECTED,5.7507
79,1,-0.731,-1.731,0.0348,REJECTED,5.8218
80,0,-0.731,-1.731,0.033,REJECTED,5.8928
81,1,-0.731,-1.731,0.0314,REJECTED,5.964
82,2,-0.7449,-1.7449,0.0298,ACCEPTED (improvement),6.0349
83,1,-0.7449,-1.7449,0.0283,REJECTED,6.1054
84,1,-0.7495,-1.7495,0.0269,ACCEPTED (improvement),6.1745
85,1,-0.7424,-1.7424,0.0256,"ACCEPTED (escape, p=0.758)",6.2448
86,0,-0.863,-1.863,0.0243,ACCEPTED (improvement),6.3149
87,0,-0.9705,-1.9705,0.0231,ACCEPTED (improvement),6.3844
88,0,-0.9705,-1.9705,0.0219,REJECTED,6.4539
89,1,-0.9749,-1.9749,0.0208,ACCEPTED (improvement),6.524
90,0,-0.9685,-1.9685,0.0198,"ACCEPTED (escape, p=0.725)",6.594
91,1,-0.9685,-1.9685,0.0188,REJECTED,6.6635
92,1,-0.9685,-1.9685,0.0178,REJECTED,6.7335
93,2,-0.9685,-1.9685,0.017,REJECTED,6.8036
94,0,-0.9685,-1.9685,0.0161,REJECTED,6.874
95,2,-0.9685,-1.9685,0.0153,REJECTED,6.9445
96,0,-0.9685,-1.9685,0.0145,REJECTED,7.0145
97,0,-0.9744,-1.9744,0.0138,ACCEPTED (improvement),7.0841
98,0,-0.9744,-1.9744,0.0131,REJECTED,7.1551
99,1,-0.9509,-1.9509,0.0125,"ACCEPTED (escape, p=0.153)",7.2257
100,0,-0.9509,-1.9509,0.0118,REJECTED,7.2963
