generation,qubit_mutated,energy,objective_cx,temperature,status,time_elapsed_sec
0,N/A,-0.5479,-1.5479,2.0,START,0.0
1,1,-0.6047,-1.6047,1.9,ACCEPTED (improvement),0.1376
2,1,-0.917,-1.917,1.805,ACCEPTED (improvement),0.206
3,0,-0.9702,-1.9702,1.7147,ACCEPTED (improvement),0.2745
4,0,-0.9739,-1.9739,1.629,ACCEPTED (improvement),0.3464
5,0,-0.9805,-1.9805,1.5476,ACCEPTED (improvement),0.4157
6,1,-0.9849,-1.9849,1.4702,ACCEPTED (improvement),0.4842
7,0,-0.9795,-1.9795,1.3967,"ACCEPTED (escape, p=0.996)",0.5538
8,2,-0.9795,-1.9795,1.3268,"ACCEPTED (escape, p=1.000)",0.6357
9,2,-0.9651,-1.9651,1.2605,"ACCEPTED (escape, p=0.989)",0.7104
10,1,-0.9734,-1.9734,1.1975,ACCEPTED (improvement),0.781
11,2,-0.9114,-1.9114,1.1376,"ACCEPTED (escape, p=0.947)",0.8486
12,0,-0.8044,-1.8044,1.0807,"ACCEPTED (escape, p=0.906)",0.9153
13,0,-0.9106,-1.9106,1.0267,ACCEPTED (improvement),0.9832
14,2,-0.6074,-1.6074,0.9753,"ACCEPTED (escape, p=0.733)",1.0516
15,0,-0.3127,-1.3127,0.9266,"ACCEPTED (escape, p=0.728)",1.124
16,2,-0.2605,-1.2605,0.8803,"ACCEPTED (escape, p=0.942)",1.195
17,1,-0.2563,-1.2563,0.8362,"ACCEPTED (escape, p=0.995)",1.2643
18,0,-0.0679,-1.0679,0.7944,"ACCEPTED (escape, p=0.789)",1.3346
19,1,-0.0715,-1.0715,0.7547,ACCEPTED (improvement),1.4042
20,1,-0.0686,-1.0686,0.717,"ACCEPTED (escape, p=0.996)",1.4771
21,0,-0.0686,-1.0686,0.6811,REJECTED,1.5459
22,1,-0.0703,-1.0703,0.6471,ACCEPTED (improvement),1.6146
23,1,-0.0684,-1.0684,0.6147,"ACCEPTED (escape, p=0.997)",1.6823
24,0,-0.104,-1.104,0.584,ACCEPTED (improvement),1.7524
25,0,-0.3596,-1.3596,0.5548,ACCEPTED (improvement),1.8222
26,1,-0.3633,-1.3633,0.527,ACCEPTED (improvement),1.8932
27,1,-0.3657,-1.3657,0.5007,ACCEPTED (improvement),1.9628
28,1,-0.363,-1.363,0.4757,"ACCEPTED (escape, p=0.994)",2.0313
29,2,0.0247,-0.9753,0.4519,"ACCEPTED (escape, p=0.424)",2.099
30,2,0.0833,-0.9167,0.4293,"ACCEPTED (escape, p=0.872)",2.1652
31,0,-0.0537,-1.0537,0.4078,ACCEPTED (improvement),2.2347
32,0,0.2229,-0.7771,0.3874,"ACCEPTED (escape, p=0.490)",2.3052
33,1,0.2285,-0.7715,0.3681,"ACCEPTED (escape, p=0.985)",2.3757
34,2,0.332,-0.668,0.3496,"ACCEPTED (escape, p=0.744)",2.4454
35,0,0.1765,-0.8235,0.3322,ACCEPTED (improvement),2.5159
36,2,0.165,-0.835,0.3156,ACCEPTED (improvement),2.5827
37,0,0.165,-0.835,0.2998,REJECTED,2.6511
38,0,0.1824,-0.8176,0.2848,"ACCEPTED (escape, p=0.941)",2.7222
39,2,0.1956,-0.8044,0.2706,"ACCEPTED (escape, p=0.952)",2.7894
40,1,0.0938,-0.9062,0.257,ACCEPTED (improvement),2.8579
41,0,0.0613,-0.9387,0.2442,ACCEPTED (improvement),2.9252
42,2,0.0479,-0.9521,0.232,ACCEPTED (improvement),2.9925
43,2,-0.0227,-1.0227,0.2204,ACCEPTED (improvement),3.0603
44,1,-0.0872,-1.0872,0.2093,ACCEPTED (improvement),3.1329
45,2,-0.0957,-1.0957,0.1989,ACCEPTED (improvement),3.2047
46,1,-0.1809,-1.1809,0.1889,ACCEPTED (improvement),3.2758
47,1,-0.2859,-1.2859,0.1795,ACCEPTED (improvement),3.3487
48,0,-0.3191,-1.3191,0.1705,ACCEPTED (improvement),3.4184
49,1,-0.2212,-1.2212,0.162,"ACCEPTED (escape, p=0.546)",3.4924
50,2,-0.2451,-1.2451,0.1539,ACCEPTED (improvement),3.5658
51,0,-0.3442,-1.3442,0.1462,ACCEPTED (improvement),3.6406
52,1,-0.4417,-1.4417,0.1389,ACCEPTED (improvement),3.7186
53,1,-0.4141,-1.4141,0.1319,"ACCEPTED (escape, p=0.811)",3.7923
54,0,-0.2822,-1.2822,0.1253,"ACCEPTED (escape, p=0.349)",3.8645
55,0,-0.4468,-1.4468,0.1191,ACCEPTED (improvement),3.9326
56,1,-0.6799,-1.6799,0.1131,ACCEPTED (improvement),4.0007
57,0,-0.6167,-1.6167,0.1075,"ACCEPTED (escape, p=0.555)",4.0699
58,1,-0.6621,-1.6621,0.1021,ACCEPTED (improvement),4.1409
59,0,-0.6885,-1.6885,0.097,ACCEPTED (improvement),4.2112
60,0,-0.7244,-1.7244,0.0921,ACCEPTED (improvement),4.2811
61,0,-0.6733,-1.6733,0.0875,"ACCEPTED (escape, p=0.558)",4.3521
62,0,-0.6733,-1.6733,0.0832,REJECTED,4.4224
63,2,-0.6931,-1.6931,0.079,ACCEPTED (improvement),4.4905
64,2,-0.718,-1.718,0.075,ACCEPTED (improvement),4.5587
65,2,-0.7986,-1.7986,0.0713,ACCEPTED (improvement),4.6275
66,2,-0.7898,-1.7898,0.0677,"ACCEPTED (escape, p=0.878)",4.6978
67,2,-0.7988,-1.7988,0.0643,ACCEPTED (improvement),4.7663
68,1,-0.8867,-1.8867,0.0611,ACCEPTED (improvement),4.8342
69,1,-0.8867,-1.8867,0.0581,REJECTED,4.902
70,2,-0.8867,-1.8867,0.0552,REJECTED,4.9712
71,2,-0.8848,-1.8848,0.0524,"ACCEPTED (escape, p=0.963)",5.0424
72,0,-0.9133,-1.9133,0.0498,ACCEPTED (improvement),5.1134
73,1,-0.9133,-1.9133,0.0473,REJECTED,5.1849
74,0,-0.9519,-1.9519,0.0449,ACCEPTED (improvement),5.255
75,1,-0.9885,-1.9885,0.0427,ACCEPTED (improvement),5.3255
76,1,-0.9905,-1.9905,0.0406,ACCEPTED (improvement),5.3967
77,2,-0.9873,-1.9873,0.0385,"ACCEPTED (escape, p=0.921)",5.4701
78,0,-0.9873,-1.9873,0.0366,REJECTED,5.5408
79,0,-0.9856,-1.9856,0.0348,"ACCEPTED (escape, p=0.952)",5.6151
80,2,-0.9856,-1.9856,0.033,REJECTED,5.6926
81,1,-0.9844,-1.9844,0.0314,"ACCEPTED (escape, p=0.962)",5.7632
82,2,-0.9819,-1.9819,0.0298,"ACCEPTED (escape, p=0.921)",5.8324
83,2,-0.9817,-1.9817,0.0283,"ACCEPTED (escape, p=0.991)",5.9011
84,2,-0.9741,-1.9741,0.0269,"ACCEPTED (escape, p=0.755)",5.9694
85,0,-0.9741,-1.9741,0.0256,REJECTED,6.0372
86,2,-0.9741,-1.9741,0.0243,REJECTED,6.1035
87,1,-0.9712,-1.9712,0.0231,"ACCEPTED (escape, p=0.881)",6.1749
88,2,-0.9712,-1.9712,0.0219,REJECTED,6.2436
89,2,-0.9863,-1.9863,0.0208,ACCEPTED (improvement),6.3109
90,0,-0.9917,-1.9917,0.0198,ACCEPTED (improvement),6.3793
91,2,-0.9944,-1.9944,0.0188,ACCEPTED (improvement),6.4476
92,0,-0.9944,-1.9944,0.0178,REJECTED,6.5174
93,2,-0.9951,-1.9951,0.017,ACCEPTED (improvement),6.5847
94,1,-0.9951,-1.9951,0.0161,REJECTED,6.6535
95,2,-0.9951,-1.9951,0.0153,REJECTED,6.7228
96,1,-0.9951,-1.9951,0.0145,REJECTED,6.7921
97,1,-0.9951,-1.9951,0.0138,REJECTED,6.8599
98,0,-0.9951,-1.9951,0.0131,REJECTED,6.9285
99,2,-0.9893,-1.9893,0.0125,"ACCEPTED (escape, p=0.625)",6.9962
100,0,-0.9893,-1.9893,0.0118,REJECTED,7.0646
