generation,qubit_mutated,energy,objective_cx,status,time_elapsed_sec
116,10,-3.8591,-10.8591,REJECTED,8.4963
117,11,-3.8591,-10.8591,REJECTED,8.5656
118,1,-3.8591,-10.8591,REJECTED,8.6357
119,6,-3.8591,-10.8591,REJECTED,8.7056
120,12,-3.8591,-10.8591,REJECTED,8.7763
121,3,-3.8591,-10.8591,REJECTED,8.8448
122,3,-3.8591,-10.8591,REJECTED,8.916
123,9,-3.9595,-10.9595,ACCEPTED,8.987
124,11,-3.9595,-10.9595,REJECTED,9.0608
125,12,-3.9595,-10.9595,REJECTED,9.1295
126,10,-3.9595,-10.9595,REJECTED,9.1994
127,1,-3.9595,-10.9595,REJECTED,9.2676
128,2,-3.9595,-10.9595,REJECTED,9.3366
129,6,-3.9595,-10.9595,REJECTED,9.4068
130,1,-4.0635,-11.0635,ACCEPTED,9.4766
131,5,-4.0635,-11.0635,REJECTED,9.5478
132,8,-4.1287,-11.1287,ACCEPTED,9.6179
133,8,-4.1287,-11.1287,REJECTED,9.6887
134,6,-4.1287,-11.1287,REJECTED,9.7599
135,10,-4.1287,-11.1287,REJECTED,9.8283
136,7,-4.1287,-11.1287,REJECTED,9.8967
137,12,-4.1287,-11.1287,REJECTED,9.9666
138,14,-4.1287,-11.1287,REJECTED,10.0351
139,14,-4.1392,-11.1392,ACCEPTED,10.1032
140,6,-4.1392,-11.1392,REJECTED,10.1759
141,0,-4.1392,-11.1392,REJECTED,10.2461
142,3,-4.1392,-11.1392,REJECTED,10.3152
143,8,-4.2559,-11.2559,ACCEPTED,10.3852
144,5,-4.2559,-11.2559,REJECTED,10.4566
145,7,-4.2559,-11.2559,REJECTED,10.5276
146,0,-4.2559,-11.2559,REJECTED,10.5967
147,6,-4.2559,-11.2559,REJECTED,10.6649
148,8,-4.2559,-11.2559,REJECTED,10.733
149,4,-4.2729,-11.2729,ACCEPTED,10.8019
150,0,-4.2729,-11.2729,REJECTED,10.8754
151,6,-4.2729,-11.2729,REJECTED,10.9455
152,8,-4.2729,-11.2729,REJECTED,11.0138
153,14,-4.2729,-11.2729,REJECTED,11.0829
154,11,-4.2729,-11.2729,REJECTED,11.1516
155,5,-4.2729,-11.2729,REJECTED,11.224
156,9,-4.2729,-11.2729,REJECTED,11.2958
157,13,-4.2964,-11.2964,ACCEPTED,11.4392
158,4,-4.2964,-11.2964,REJECTED,11.5331
159,12,-4.2964,-11.2964,REJECTED,11.6068
160,14,-4.2964,-11.2964,REJECTED,11.6821
161,2,-4.2964,-11.2964,REJECTED,11.7526
162,9,-4.3628,-11.3628,ACCEPTED,11.8213
163,11,-4.3628,-11.3628,REJECTED,11.8928
164,9,-4.5308,-11.5308,ACCEPTED,11.9623
165,4,-4.5308,-11.5308,REJECTED,12.0326
166,0,-4.5308,-11.5308,REJECTED,12.1027
167,11,-4.5422,-11.5422,ACCEPTED,12.1718
168,5,-4.5422,-11.5422,REJECTED,12.2408
169,9,-4.5422,-11.5422,REJECTED,12.3102
170,6,-4.5422,-11.5422,REJECTED,12.3797
171,0,-4.5422,-11.5422,REJECTED,12.4492
172,12,-4.5422,-11.5422,REJECTED,12.5192
173,1,-4.5422,-11.5422,REJECTED,12.5871
174,13,-4.5764,-11.5764,ACCEPTED,12.6563
175,5,-4.5764,-11.5764,REJECTED,12.7254
176,3,-4.5764,-11.5764,REJECTED,12.7938
177,0,-4.5764,-11.5764,REJECTED,12.8633
178,11,-4.5764,-11.5764,REJECTED,12.9323
179,0,-4.5764,-11.5764,REJECTED,13.0002
180,14,-4.7095,-11.7095,ACCEPTED,13.0678
181,9,-4.7095,-11.7095,REJECTED,13.1387
182,5,-4.7095,-11.7095,REJECTED,13.2066
183,9,-4.7095,-11.7095,REJECTED,13.2745
184,2,-4.7095,-11.7095,REJECTED,13.3442
185,6,-4.7095,-11.7095,REJECTED,13.4133
186,9,-4.7095,-11.7095,REJECTED,13.4812
