generation,qubit_mutated,energy,objective_cx,temperature,status,time_elapsed_sec
0,N/A,-1.4346,-8.4346,2.0,START,0.0
1,5,-1.3645,-8.3645,1.9,"ACCEPTED (escape, p=0.964)",0.1524
2,13,-1.3721,-8.3721,1.805,ACCEPTED (improvement),0.2278
3,6,-1.3435,-8.3435,1.7147,"ACCEPTED (escape, p=0.983)",0.2999
4,7,-1.3025,-8.3025,1.629,"ACCEPTED (escape, p=0.975)",0.373
5,4,-1.3855,-8.3855,1.5476,ACCEPTED (improvement),0.4482
6,10,-1.4524,-8.4524,1.4702,ACCEPTED (improvement),0.5243
7,13,-1.4446,-8.4446,1.3967,"ACCEPTED (escape, p=0.994)",0.5992
8,8,-1.4446,-8.4446,1.3268,REJECTED,0.6744
9,6,-1.2417,-8.2417,1.2605,"ACCEPTED (escape, p=0.851)",0.7505
10,9,-1.4463,-8.4463,1.1975,ACCEPTED (improvement),0.8698
11,3,-1.4858,-8.4858,1.1376,ACCEPTED (improvement),0.945
12,1,-1.4849,-8.4849,1.0807,"ACCEPTED (escape, p=0.999)",1.019
13,3,-1.4746,-8.4746,1.0267,"ACCEPTED (escape, p=0.990)",1.095
14,0,-1.4878,-8.4878,0.9753,ACCEPTED (improvement),1.173
15,12,-1.344,-8.344,0.9266,"ACCEPTED (escape, p=0.856)",1.2526
16,5,-1.6736,-8.6736,0.8803,ACCEPTED (improvement),1.3266
17,9,-1.8723,-8.8723,0.8362,ACCEPTED (improvement),1.3999
18,4,-1.7849,-8.7849,0.7944,"ACCEPTED (escape, p=0.896)",1.476
19,6,-1.7122,-8.7122,0.7547,"ACCEPTED (escape, p=0.908)",1.5493
20,7,-1.8486,-8.8486,0.717,ACCEPTED (improvement),1.6214
21,4,-1.9629,-8.9629,0.6811,ACCEPTED (improvement),1.6924
22,2,-1.9438,-8.9438,0.6471,"ACCEPTED (escape, p=0.971)",1.7655
23,0,-1.96,-8.96,0.6147,ACCEPTED (improvement),1.8383
24,2,-1.9873,-8.9873,0.584,ACCEPTED (improvement),1.9095
25,1,-1.9873,-8.9873,0.5548,REJECTED,1.9988
26,14,-2.0896,-9.0896,0.527,ACCEPTED (improvement),2.0735
27,1,-2.0835,-9.0835,0.5007,"ACCEPTED (escape, p=0.988)",2.1515
28,2,-2.051,-9.051,0.4757,"ACCEPTED (escape, p=0.934)",2.2248
29,11,-2.0659,-9.0659,0.4519,ACCEPTED (improvement),2.2961
30,2,-2.106,-9.106,0.4293,ACCEPTED (improvement),2.369
31,11,-2.092,-9.092,0.4078,"ACCEPTED (escape, p=0.966)",2.4405
32,9,-2.0554,-9.0554,0.3874,"ACCEPTED (escape, p=0.910)",2.5112
33,11,-1.9624,-8.9624,0.3681,"ACCEPTED (escape, p=0.777)",2.5828
34,11,-1.959,-8.959,0.3496,"ACCEPTED (escape, p=0.990)",2.6541
35,6,-1.9055,-8.9055,0.3322,"ACCEPTED (escape, p=0.851)",2.7251
