"num_seq_geo","pt_lamp","qtde_lamp","luminaria","latitude","longitude","OBJECTID"
"948561168","130","1","MATERIAL NÃO IDENTIFICADO","-25.447232","-49.257089","220428331"
"2368614","90","1","LUMINARIA LM250 INTEGRADA P/ LAMPADA VSO-250","-25.448248","-49.258307","220428570"
"1828469","90","1","LUMINARIA LM250 INTEGRADA P/ LAMPADA VSO-250","-25.447424","-49.258051","220429821"
"2471097","90","1","LUMINARIA LM250 INTEGRADA P/ LAMPADA VSO-250","-25.448932","-49.258118","220429831"
"2471093","90","1","LUMINARIA LM250 INTEGRADA P/ LAMPADA VSO-250","-25.448734","-49.258171","220429832"
"1104098838","60","5","MATERIAL NÃO IDENTIFICADO","-25.448929","-49.2579","220430582"
"1104098840","60","12","MATERIAL NÃO IDENTIFICADO","-25.450493","-49.257261","220430583"
"1104098842","60","8","MATERIAL NÃO IDENTIFICADO","-25.449564","-49.257354","220430584"
"2385750","110","1","MATERIAL NÃO IDENTIFICADO","-25.450591","-49.258711","220430856"
"2385451","110","1","MATERIAL NÃO IDENTIFICADO","-25.450632","-49.259098","220430857"
"946910490","130","1","MATERIAL NÃO IDENTIFICADO","-25.44719","-49.256662","220431088"
"2368829","130","1","MATERIAL NÃO IDENTIFICADO","-25.44824","-49.259143","220431120"
"1104095536","33","1","MATERIAL NÃO IDENTIFICADO","-25.447378","-49.251926","220441154"
"1104095543","33","1","MATERIAL NÃO IDENTIFICADO","-25.447435","-49.252194","220441155"
"946900553","60","1","LUMINARIA LM250 INTEGRADA P/ LAMPADA VSO-250","-25.447881","-49.25702","220450345"
"946900559","47","1","LUMINARIA LM250 INTEGRADA P/ LAMPADA VSO-250","-25.447468","-49.257195","220450346"
"946900383","60","1","LUMINARIA TIPO LM-1","-25.450096","-49.25658","220471800"
"946900486","60","1","LUMINARIA TIPO LM-1","-25.449799","-49.256604","220472050"
"946900489","60","1","LUMINARIA TIPO LM-1","-25.449519","-49.256638","220472051"
"946900492","47","1","LUMINARIA TIPO LM-1","-25.44924","-49.256672","220472063"
"595921833","47","1","LUMINARIA TIPO LM-1","-25.447647","-49.257103","220472283"
"2509859","110","1","LUMINARIA LM250 INTEGRADA P/ LAMPADA VSO-250","-25.449236","-49.255549","220484666"
"574276378","130","1","MATERIAL NÃO IDENTIFICADO","-25.447419","-49.250086","220487608"
"861128416","61","1","MATERIAL NÃO IDENTIFICADO","-25.447595","-49.249696","220517398"
"2544822","110","1","MATERIAL NÃO IDENTIFICADO","-25.450537","-49.257906","220589006"
"2544846","110","1","MATERIAL NÃO IDENTIFICADO","-25.450568","-49.258314","220589007"
"2368463","110","1","MATERIAL NÃO IDENTIFICADO","-25.447186","-49.258601","220608782"
"2568274","130","1","MATERIAL NÃO IDENTIFICADO","-25.450468","-49.252906","220609008"
"2568271","200","1","MATERIAL NÃO IDENTIFICADO","-25.450189","-49.25294","220609009"
"2371990","90","1","MATERIAL NÃO IDENTIFICADO","-25.450255","-49.253943","220609012"
"946902549","60","1","MATERIAL NÃO IDENTIFICADO","-25.449814","-49.254049","220609013"
"946902546","130","1","MATERIAL NÃO IDENTIFICADO","-25.449525","-49.254083","220609014"
"946902383","75","1","MATERIAL NÃO IDENTIFICADO","-25.449209","-49.254107","220609015"
"572472893","200","1","MATERIAL NÃO IDENTIFICADO","-25.450189","-49.25294","220609038"
"946902380","75","1","MATERIAL NÃO IDENTIFICADO","-25.448894","-49.254142","220609777"
"946902377","60","1","MATERIAL NÃO IDENTIFICADO","-25.44866","-49.254175","220609778"
"946902638","75","1","MATERIAL NÃO IDENTIFICADO","-25.447858","-49.254375","220609780"
"572472989","130","1","MATERIAL NÃO IDENTIFICADO","-25.450468","-49.252906","220609786"
